                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3107,                 2.5237,                 1.2894,                0.52496,                0.32277,                0.32475,                0.21008,                 1.3184,                 1.6482,                 1.2885,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.4007,                 2.0542,                  1.362,                0.45593,                0.34913,                0.34151,                0.22315,                 1.3104,                 1.5466,                 1.2812,              0.0066002,              0.0066002,              0.0066002
                      3,                 1.4729,                 2.0392,                 1.4107,                0.51709,                 0.3241,                0.33978,                0.22337,                 1.3177,                 1.5436,                 1.2943,              0.0098016,              0.0098016,              0.0098016
                      4,                  1.471,                 1.9517,                 1.4126,                0.52178,                0.34753,                0.36457,                0.24295,                  1.285,                 1.4648,                 1.2716,               0.009703,               0.009703,               0.009703
                      5,                  1.424,                 1.8225,                 1.3775,                0.54969,                0.36009,                 0.3896,                0.26134,                 1.2575,                 1.4053,                 1.2499,               0.009604,               0.009604,               0.009604
                      6,                 1.3963,                  1.748,                 1.3547,                0.59334,                0.36526,                0.40095,                0.26888,                 1.2453,                 1.3728,                 1.2408,               0.009505,               0.009505,               0.009505
                      7,                 1.3783,                 1.7026,                 1.3398,                0.59293,                0.37277,                0.40783,                0.27472,                  1.236,                 1.3538,                 1.2338,               0.009406,               0.009406,               0.009406
                      8,                  1.367,                 1.6715,                 1.3309,                 0.5934,                 0.3795,                0.41359,                0.27996,                 1.2305,                 1.3445,                 1.2291,               0.009307,               0.009307,               0.009307
                      9,                 1.3582,                 1.6481,                 1.3235,                0.59091,                0.38224,                0.41885,                0.28418,                 1.2252,                  1.336,                 1.2247,               0.009208,               0.009208,               0.009208
                     10,                 1.3516,                 1.6303,                 1.3196,                0.58787,                0.39186,                0.42149,                 0.2858,                  1.221,                 1.3298,                 1.2211,               0.009109,               0.009109,               0.009109
                     11,                  1.347,                 1.6208,                 1.3166,                0.58829,                0.39302,                0.42603,                0.28935,                 1.2166,                 1.3232,                 1.2176,                0.00901,                0.00901,                0.00901
                     12,                 1.3411,                 1.6076,                 1.3113,                0.59169,                0.39417,                0.42995,                0.29277,                 1.2133,                 1.3158,                 1.2149,               0.008911,               0.008911,               0.008911
                     13,                 1.3392,                 1.5969,                 1.3086,                0.59136,                0.39547,                0.43059,                0.29456,                 1.2093,                 1.3099,                 1.2118,               0.008812,               0.008812,               0.008812
                     14,                 1.3335,                 1.5909,                 1.3053,                0.61004,                0.39065,                 0.4339,                0.29694,                 1.2057,                 1.3038,                 1.2091,               0.008713,               0.008713,               0.008713
                     15,                 1.3322,                 1.5829,                 1.3034,                0.60833,                0.39319,                0.43561,                  0.299,                 1.2024,                  1.296,                 1.2066,               0.008614,               0.008614,               0.008614
                     16,                 1.3297,                 1.5736,                 1.3023,                0.60807,                0.39329,                 0.4385,                0.30125,                 1.2008,                 1.2888,                 1.2047,               0.008515,               0.008515,               0.008515
                     17,                 1.3267,                 1.5699,                 1.2989,                0.60622,                0.39718,                0.44142,                0.30343,                 1.1988,                 1.2816,                 1.2032,               0.008416,               0.008416,               0.008416
                     18,                  1.325,                 1.5654,                 1.2978,                0.60468,                0.40124,                0.44383,                0.30458,                 1.1967,                 1.2734,                 1.2014,               0.008317,               0.008317,               0.008317
                     19,                 1.3212,                 1.5601,                 1.2953,                0.61139,                0.40265,                0.44699,                0.30693,                 1.1951,                 1.2666,                 1.1997,               0.008218,               0.008218,               0.008218
                     20,                 1.3191,                 1.5487,                 1.2937,                0.61749,                0.40581,                0.45007,                 0.3093,                 1.1931,                 1.2594,                 1.1974,               0.008119,               0.008119,               0.008119
                     21,                 1.3195,                 1.5508,                 1.2929,                0.60324,                0.41265,                0.45167,                0.31117,                 1.1918,                 1.2524,                 1.1954,                0.00802,                0.00802,                0.00802
                     22,                 1.3165,                 1.5469,                 1.2919,                0.60789,                0.41263,                0.45404,                0.31296,                 1.1913,                  1.247,                 1.1944,               0.007921,               0.007921,               0.007921
                     23,                 1.3171,                 1.5455,                 1.2908,                0.59802,                0.41518,                0.45571,                0.31399,                 1.1901,                 1.2419,                 1.1929,               0.007822,               0.007822,               0.007822
                     24,                 1.3143,                 1.5358,                 1.2888,                0.59802,                0.41867,                  0.457,                0.31503,                 1.1894,                 1.2365,                 1.1916,               0.007723,               0.007723,               0.007723
